cheese_batch_id,date,user_id,username,milk_used,salt_used,cheese,comments
140,2024-10-10,32,Usuario1,57,1.14,4.75,Alta calidad
139,2024-10-09,33,Usuario2,50,1,4.1,Producción estable
138,2024-10-08,32,Usuario1,54,1.09,4.6,Buena consistencia
137,2024-10-07,33,Usuario2,46,0.9,3.9,Leche con alto contenido graso
136,2024-10-06,32,Usuario1,51,1.02,4.25,Sin problemas
135,2024-10-05,33,Usuario2,58,1.15,4.8,Mayor demanda
134,2024-10-04,32,Usuario1,49,0.98,4.2,Producción regular
133,2024-10-03,33,Usuario2,53,1.07,4.4,Nueva receta
132,2024-10-02,32,Usuario1,47,0.92,4,Leche de buena calidad
131,2024-10-01,33,Usuario2,52,1.05,4.3,Sin incidentes
130,2024-09-30,32,Usuario1,48,0.95,4.1,Calidad consistente
129,2024-09-30,33,Usuario2,60,1.2,5,Lote grande
128,2024-09-29,32,Usuario1,55,1.1,4.5,Mayor producción
127,2024-09-28,33,Usuario2,45,0.9,3.8,Ajuste en la receta
126,2024-09-27,32,Usuario1,50,1,4,Primer lote de la semana
125,2024-08-10,33,Usuario2,57,1.14,4.75,Alta calidad
124,2024-08-09,32,Usuario1,50,1,4.1,Producción estable
123,2024-08-08,33,Usuario2,54,1.09,4.6,Buena consistencia
122,2024-08-07,32,Usuario1,46,0.9,3.9,Leche con alto contenido graso
121,2024-08-06,33,Usuario2,51,1.02,4.25,Sin problemas
120,2024-08-05,32,Usuario1,58,1.15,4.8,Mayor demanda
119,2024-08-04,33,Usuario2,49,0.98,4.2,Producción regular
118,2024-08-03,32,Usuario1,53,1.07,4.4,Nueva receta
117,2024-08-02,33,Usuario2,47,0.92,4,Leche de buena calidad
116,2024-08-01,32,Usuario1,52,1.05,4.3,Sin incidentes
115,2024-07-30,33,Usuario2,48,0.95,4.1,Calidad consistente
114,2024-07-30,32,Usuario1,60,1.2,5,ote grande
113,2024-07-29,33,Usuario2,55,1.1,4.5,Mayor producción
112,2024-07-28,32,Usuario1,45,0.9,3.8,Ajuste en la receta
111,2024-07-27,33,Usuario2,50,1,4,Primer lote de la semana
